date,rain,tmax,tmin
15-05-1951,0,38.84999847,27.82999992
16-05-1951,0,37.93999863,28.45999908
17-05-1951,0,39.18999863,28.97999954
18-05-1951,0,38.45999908,26.22999954
19-05-1951,0,37.06999969,27.44000053
20-05-1951,0,37.93000031,27.71999931
21-05-1951,0,37.97999954,28.43000031
22-05-1951,0,38.68999863,25.57999992
23-05-1951,0,36.47999954,28.07999992
24-05-1951,0,35.45000076,26.06999969
25-05-1951,0,35.45999908,26.04000092
26-05-1951,0,36.77999878,27.60000038
27-05-1951,0,38.24000168,26.98999977
28-05-1951,0,36.68999863,27.64999962
29-05-1951,0,38,27.03000069
30-05-1951,0,35.61999893,26.95000076
31-05-1951,0,36.99000168,26.70999908
01-06-1951,0,36.75999832,25.89999962
02-06-1951,0,34.56000137,25.85000038
03-06-1951,0,35.79999924,26.85000038
04-06-1951,0,36.04999924,26.45000076
05-06-1951,0,35.02999878,26.78000069
06-06-1951,0,36.52000046,25.90999985
07-06-1951,0,36.11000061,27.29000092
08-06-1951,0,37.15999985,27.76000023
09-06-1951,0,37.45999908,26.90999985
10-06-1951,0,35.36999893,26.52000046
11-06-1951,0,34.88999939,26.23999977
12-06-1951,0,34.77000046,26.85000038
13-06-1951,0,35.88000107,26.87999916
14-06-1951,0,36.84000015,26.37999916
15-06-1951,0,37.43000031,26.65999985
16-06-1951,0,37.41999817,27.70999908
17-06-1951,0,37.77000046,27.05999947
18-06-1951,0,38.04999924,26.60000038
19-06-1951,0,37.72000122,26.76000023
20-06-1951,0,36.93000031,26.88999939
21-06-1951,0,36.27999878,26.31999969
22-06-1951,0,36.68000031,26.79000092
23-06-1951,0,35.09000015,26.59000015
24-06-1951,0,36.04000092,26.82999992
25-06-1951,0,34.70000076,25.80999947
26-06-1951,0,36.09000015,26.37999916
27-06-1951,0,35.59000015,26.35000038
28-06-1951,0,35.31999969,26.53000069
29-06-1951,0,36.70000076,26.92000008
30-06-1951,0,36.88000107,27.29999924
01-07-1951,0,39.06999969,28.05999947
02-07-1951,0,38.79000092,27.64999962
03-07-1951,0,39.20999908,27.30999947
04-07-1951,0,36.56999969,26.62000084
05-07-1951,0,36.90999985,25.53000069
06-07-1951,0,34.77000046,24.64999962
07-07-1951,0,35.24000168,24.98999977
08-07-1951,0,33.70000076,24.71999931
09-07-1951,0,33.50999832,24.88999939
10-07-1951,0,34.81000137,26.10000038
11-07-1951,0,36.02999878,26.55999947
12-07-1951,0,37.09999847,25.20999908
13-07-1951,0,35.74000168,25.63999939
14-07-1951,0,33.86999893,26.14999962
15-07-1951,0,35.88999939,25.73999977
16-07-1951,0,35.06000137,25.20000076
17-07-1951,0,33.99000168,25.29000092
18-07-1951,0,34.77000046,24.64999962
19-07-1951,0,32.06999969,25.54000092
20-07-1951,0,32.16999817,24.69000053
21-07-1951,0,33.02000046,24.95999908
22-07-1951,0,32.99000168,25
23-07-1951,0,34.13000107,25.23999977
24-07-1951,0,31.45999908,25.52000046
25-07-1951,0,30.28000069,24.37000084
26-07-1951,0,32.34999847,25.22999954
27-07-1951,0,34.43999863,25.40999985
28-07-1951,0,35.79999924,26.56999969
29-07-1951,0,36.40000153,26.98999977
30-07-1951,0,35.43999863,26.39999962
31-07-1951,0,33.31999969,26.35000038
01-08-1951,0,34.93000031,25.68000031
02-08-1951,0,35.75999832,25.70000076
03-08-1951,0,36.43000031,25.75
04-08-1951,0,35.40000153,24.98999977
05-08-1951,0,33.90000153,25.73999977
06-08-1951,0,34.65999985,26.02000046
07-08-1951,0,35.66999817,26.29999924
08-08-1951,0,34.18000031,25.97999954
09-08-1951,0,36.52999878,25.20999908
10-08-1951,0,35.77999878,26.23999977
11-08-1951,0,36.27999878,25.77000046
12-08-1951,0,35.61999893,25.47999954
13-08-1951,0,35.75999832,25.65999985
14-08-1951,0,34.72999954,25.65999985
15-08-1951,0,36.11999893,25.47999954
16-08-1951,0,36.50999832,26.60000038
17-08-1951,0,35.25999832,26.19000053
18-08-1951,0,34.86000061,25.95000076
19-08-1951,0,36.49000168,25.90999985
20-08-1951,0,36.45000076,26.44000053
21-08-1951,0,36.79999924,25.87000084
22-08-1951,0,36.13999939,25.45999908
23-08-1951,0,35.34000015,25.43000031
24-08-1951,0,35.22000122,24.92000008
25-08-1951,0,34.56999969,25
26-08-1951,0,35.04000092,25.35000038
27-08-1951,0,35.90000153,25.72999954
28-08-1951,0,35.22000122,26.21999931
29-08-1951,0,34.66999817,23.79000092
30-08-1951,0,33.11999893,24.95999908
31-08-1951,0,33.65000153,24.45000076
01-09-1951,0,33.20000076,24.35000038
02-09-1951,0,33.50999832,25.12999916
03-09-1951,0,35.77000046,24.95999908
04-09-1951,0,35.40999985,24.95000076
05-09-1951,0,33.91999817,25.04999924
06-09-1951,0,33.41999817,24.52000046
07-09-1951,0,32.13000107,24.79999924
08-09-1951,0,34.74000168,25.39999962
09-09-1951,0,34.45000076,25.75
10-09-1951,0,35.97999954,26.30999947
11-09-1951,0,34.77999878,25.85000038
12-09-1951,0,35.58000183,25.06999969
13-09-1951,0,34.75999832,25.84000015
14-09-1951,0,33.83000183,25.38999939
15-09-1951,0,34.36000061,24.79999924
16-09-1951,0,34.02999878,25.28000069
17-09-1951,0,34.84999847,25.45999908
18-09-1951,0,34.58000183,26.12000084
19-09-1951,0,34.68999863,25.59000015
20-09-1951,0,34.18999863,26.09000015
21-09-1951,0,34.63999939,25.87999916
22-09-1951,0,35.41999817,25.88999939
23-09-1951,0,35.09999847,26.12999916
24-09-1951,0,35.33000183,26
25-09-1951,0,34.56999969,25.73999977
26-09-1951,0,33.90000153,25.30999947
27-09-1951,0,32.52999878,24.78000069
28-09-1951,0,31.62999916,24.29000092
29-09-1951,0,31.14999962,24.29999924
30-09-1951,0,31.95999908,24.98999977
01-10-1951,0,32.54000092,24.87000084
02-10-1951,0,33.31000137,25.12000084
03-10-1951,0,34.31999969,25.70000076
04-10-1951,0,34.84999847,25.61000061
05-10-1951,0,34.56000137,25.10000038
06-10-1951,0,33.38000107,25.12999916
07-10-1951,0,34.31999969,25.06999969
08-10-1951,0,34.56999969,25
09-10-1951,0,34.33000183,25.29999924
10-10-1951,0,34.58000183,24.71999931
11-10-1951,0,35.11999893,24.52000046
12-10-1951,0,34.61000061,25.36000061
13-10-1951,0,35.13999939,25.37999916
14-10-1951,0,34.75999832,25.87999916
15-10-1951,0,34.56000137,25.82999992
16-10-1951,0,32.65999985,24.93000031
17-10-1951,0,34.13000107,25.79000092
18-10-1951,0,34.33000183,25.29000092
19-10-1951,0,34.95000076,25.92000008
20-10-1951,0,34.29999924,25.76000023
21-10-1951,0,33.02999878,24.35000038
22-10-1951,0,32.47999954,23.70000076
23-10-1951,0,32.54999924,23.81999969
24-10-1951,0,33.63000107,23.80999947
25-10-1951,0,34.79000092,23.53000069
26-10-1951,0,33.72000122,23.79999924
27-10-1951,0,32.04000092,23.96999931
28-10-1951,0,30.86000061,24.09000015
29-10-1951,0,32.16999817,24.47999954
30-10-1951,0,31.15999985,23.97999954
31-10-1951,0,32.86999893,24.64999962
01-11-1951,0,31.87999916,24.29000092
02-11-1951,0,29.54999924,23.61000061
03-11-1951,0,30.20999908,23.60000038
04-11-1951,0,29.37999916,23.61000061
05-11-1951,0,31.93000031,24.54000092
06-11-1951,0,31.73999977,24.52000046
07-11-1951,0,29.45999908,23.67000008
08-11-1951,0,30.42000008,23.89999962
09-11-1951,0,29.46999931,23.85000038
10-11-1951,0,30.89999962,24.09000015
11-11-1951,0,30.84000015,23.05999947
12-11-1951,0,30.54999924,21.44000053
13-11-1951,0,29.96999931,21.32999992
14-11-1951,0,30.44000053,21.84000015
15-11-1951,0,30.68000031,22.06999969
16-11-1951,0,30.64999962,20.97999954
17-11-1951,0,30.23999977,22.05999947
18-11-1951,0,28.95000076,22.43000031
19-11-1951,0,26.23999977,22.90999985
20-11-1951,0,27.68000031,23.12999916
21-11-1951,0,28.82999992,23.53000069
22-11-1951,0,30.68000031,23.54999924
23-11-1951,0,30.37999916,22.64999962
24-11-1951,0,30.10000038,21.53000069
25-11-1951,0,29.95999908,22.32999992
26-11-1951,0,32.02000046,22.94000053
27-11-1951,0,31.71999931,23.88999939
28-11-1951,0,30.89999962,23.76000023
29-11-1951,0,30.62000084,22.84000015
30-11-1951,0,28.53000069,21.82999992
01-12-1951,0,29.22999954,20.79000092
02-12-1951,0,29.36000061,20.20000076
03-12-1951,0,28.96999931,19.53000069
04-12-1951,0,28.73999977,19.11000061
05-12-1951,0,28.70999908,19.17000008
06-12-1951,0,28.96999931,19.31999969
07-12-1951,0,28.97999954,17.97999954
08-12-1951,0,29.78000069,21.02000046
09-12-1951,0,30.11000061,19.85000038
10-12-1951,0,30.09000015,19.57999992
11-12-1951,0,30.59000015,18.19000053
12-12-1951,0,31.93000031,20.06999969
13-12-1951,0,31.90999985,20.25
14-12-1951,0,31.46999931,22.37999916
15-12-1951,0,31.22999954,22.56999969
16-12-1951,0,30.34000015,22.73999977
17-12-1951,0,30.07999992,21.84000015
18-12-1951,0,29.93000031,21.04999924
19-12-1951,0,29.63999939,19.07999992
20-12-1951,0,28.87999916,18.44000053
21-12-1951,0,29.30999947,18.77000046
22-12-1951,0,28.87000084,18.09000015
23-12-1951,0,28.64999962,17.92000008
24-12-1951,0,28.43000031,17.89999962
25-12-1951,0,28.23999977,19.12000084
26-12-1951,0,29.04000092,20.20999908
27-12-1951,0,29.11000061,20.45000076
28-12-1951,0,29.01000023,20.31999969
29-12-1951,0,29.01000023,20.04999924
30-12-1951,0,29.14999962,20.10000038
31-12-1951,0,29.17000008,20.03000069
01-01-1952,0,29.09000015,19.72999954
02-01-1952,0,29.10000038,19.69000053
03-01-1952,0,29.22999954,19.85000038
04-01-1952,0,29.10000038,19.69000053
05-01-1952,0,29.01000023,19.75
06-01-1952,0,29.13999939,19.67000008
07-01-1952,0,29.11000061,19.87999916
08-01-1952,0,29.65999985,21.13999939
09-01-1952,0,29.98999977,20.63999939
10-01-1952,0,30.07999992,19.5
11-01-1952,0,29.79000092,18.77000046
12-01-1952,0,30.05999947,18.61000061
13-01-1952,0,31.03000069,19.18000031
14-01-1952,0,30.93000031,19.06999969
15-01-1952,0,30.65999985,17.90999985
16-01-1952,0,30.95000076,18.02000046
17-01-1952,0,30.52000046,18.14999962
18-01-1952,0,30.37000084,18.15999985
19-01-1952,0,29.94000053,18.69000053
20-01-1952,0,29.37000084,17.47999954
21-01-1952,0,29.62000084,17.61000061
22-01-1952,0,29.57999992,17.69000053
23-01-1952,0,29.88999939,19.17000008
24-01-1952,0,30.10000038,21.04999924
25-01-1952,0,29.90999985,20.71999931
26-01-1952,0,29.52000046,19.38999939
27-01-1952,0,29.37000084,18.36000061
28-01-1952,0,29.29999924,19.13999939
29-01-1952,0,28.01000023,20.73999977
30-01-1952,0,29.12000084,21.47999954
31-01-1952,0,29.65999985,21.87999916
01-02-1952,0,29.84000015,20.01000023
02-02-1952,0,29.90999985,20.09000015
03-02-1952,0,29.21999931,21.19000053
04-02-1952,0,29.35000038,20.11000061
05-02-1952,0,31.12000084,21.07999992
06-02-1952,0,31.65999985,22.12999916
07-02-1952,0,31.5,22.81999969
08-02-1952,0,31.18000031,22.93000031
09-02-1952,0,31.12000084,21.40999985
10-02-1952,0,31.44000053,22.03000069
11-02-1952,0,31.92000008,21.04999924
12-02-1952,0,31.38999939,20.52000046
13-02-1952,0,31.75,20.35000038
14-02-1952,0,31.95000076,21.39999962
15-02-1952,0,33.24000168,18.68000031
16-02-1952,0,32.20999908,19.10000038
17-02-1952,0,31.64999962,18.27000046
18-02-1952,0,32.49000168,18.88999939
19-02-1952,0,32.97999954,19.95000076
20-02-1952,0,32.13999939,22.78000069
21-02-1952,0,32.04000092,24.02000046
22-02-1952,0,30.81999969,24.12000084
23-02-1952,0,30.88999939,24.03000069
24-02-1952,0,31.69000053,23.76000023
25-02-1952,0,31.45999908,23.63999939
26-02-1952,0,31.36000061,22.29000092
27-02-1952,0,32.40999985,18.70999908
28-02-1952,0,31.75,18.88999939
29-02-1952,0,31.5,19.5
01-03-1952,0,31.59000015,20.44000053
02-03-1952,0,32.27999878,22.85000038
03-03-1952,0,33.02999878,22.26000023
04-03-1952,0,33.77999878,22.27000046
05-03-1952,0,33.20000076,21.20000076
06-03-1952,0,33.25999832,20.57999992
07-03-1952,0,34.04000092,20.94000053
08-03-1952,0,34.22999954,19.38999939
09-03-1952,0,33.65000153,20.79999924
10-03-1952,0,33.95999908,22
11-03-1952,0,34.50999832,22.52000046
12-03-1952,0,35.29000092,22.52000046
13-03-1952,0,33.63000107,23.04999924
14-03-1952,0,33.75999832,24.44000053
15-03-1952,0,34.40999985,24.81999969
16-03-1952,0,33.91999817,25.26000023
17-03-1952,0,34.31999969,24.47999954
18-03-1952,0,34.93999863,24.77000046
19-03-1952,0,34.52999878,24.82999992
20-03-1952,0,33.72999954,23.87000084
21-03-1952,0,33.33000183,22.40999985
22-03-1952,0,33.25999832,21.12000084
23-03-1952,0,33.16999817,21.92000008
24-03-1952,0,33.63000107,23.37999916
25-03-1952,0,34.06000137,25.06999969
26-03-1952,0,35.13999939,25.59000015
27-03-1952,0,34.75999832,24.12999916
28-03-1952,0,33.74000168,24.40999985
29-03-1952,0,34.33000183,22.45000076
30-03-1952,0,34.61999893,23.60000038
31-03-1952,0,34.81000137,24.70999908
01-04-1952,0,36.18000031,26.04000092
02-04-1952,0,34.65999985,25.22999954
03-04-1952,0,35.27999878,26.15999985
04-04-1952,0,35.43000031,27.13999939
05-04-1952,0,34.49000168,26.95999908
06-04-1952,0,35.11000061,25.89999962
07-04-1952,0,34.88000107,25.45000076
08-04-1952,0,35.88999939,26.05999947
09-04-1952,0,35.97000122,25.46999931
10-04-1952,0,35.68000031,25.87999916
11-04-1952,0,36.47000122,26.92000008
12-04-1952,0,36.22999954,27.51000023
13-04-1952,0,35.77000046,26.75
14-04-1952,0,35.65000153,26.12999916
15-04-1952,0,35.63000107,25.20999908
16-04-1952,0,35.36999893,24.92000008
17-04-1952,0,35.25,24.70000076
18-04-1952,0,34.90000153,24.95000076
19-04-1952,0,35.40000153,25.89999962
20-04-1952,0,34.81000137,26.45999908
21-04-1952,0,35.15999985,26.81999969
22-04-1952,0,36.22999954,26.39999962
23-04-1952,0,36.63999939,27.70000076
24-04-1952,0,37.41999817,27.51000023
25-04-1952,0,37.47000122,28.13999939
26-04-1952,0,37.52000046,27.34000015
27-04-1952,0,36.86999893,27.82999992
28-04-1952,0,37.38999939,27.92000008
29-04-1952,0,38.06999969,28.29000092
30-04-1952,0,38.93999863,28.05999947
01-05-1952,0,39.40999985,28.95999908
02-05-1952,0,39.02999878,28.09000015
03-05-1952,0,38.83000183,28.10000038
04-05-1952,0,39.45000076,27.88999939
05-05-1952,0,39.06000137,28.82999992
06-05-1952,0,38.77999878,27.55999947
07-05-1952,0,38.15999985,27.96999931
08-05-1952,0,39.29999924,27.73999977
